iter,umax,divmax,pmax,pargmax_i,pargmax_j,pargmax_k,force_lin_sum,force_lin_max
217,3.074273e-01,5.691605e-01,2.727036e+01,32,41,24,8.461589e-03,4.350135e-04
218,3.058804e-01,5.874290e-01,2.736672e+01,32,41,24,8.443696e-03,4.272152e-04
219,3.042152e-01,5.897007e-01,2.613655e+01,32,41,24,8.370296e-03,4.353122e-04
220,3.025819e-01,5.785637e-01,2.476194e+01,32,41,24,8.288001e-03,4.251519e-04
221,3.008581e-01,5.821133e-01,2.133765e+01,33,40,24,8.134713e-03,4.143255e-04
222,2.991930e-01,5.917282e-01,2.217519e+01,32,40,24,8.064815e-03,4.282180e-04
223,2.988718e-01,5.412979e-01,2.191078e+01,33,40,24,8.084233e-03,4.460530e-04
224,2.998823e-01,5.121555e-01,2.270116e+01,32,40,24,8.248203e-03,4.366220e-04
225,2.999905e-01,4.664173e-01,2.298457e+01,32,40,24,8.463705e-03,4.406080e-04
226,2.992211e-01,4.175396e-01,2.299924e+01,32,40,24,8.620823e-03,4.459840e-04
227,2.977448e-01,4.034081e-01,2.324476e+01,32,40,24,8.685810e-03,4.444306e-04
228,2.961763e-01,4.052114e-01,2.316360e+01,32,40,24,8.793442e-03,4.691186e-04
229,2.946416e-01,4.014711e-01,2.167109e+01,32,40,24,8.679528e-03,4.735272e-04
230,2.930605e-01,3.997231e-01,2.051756e+01,32,40,24,8.641176e-03,4.714046e-04
231,2.914736e-01,4.004726e-01,1.746305e+01,32,40,23,8.672519e-03,4.578172e-04
232,2.899833e-01,4.074011e-01,1.822448e+01,32,40,23,8.749058e-03,4.634802e-04
233,2.900186e-01,4.107046e-01,1.913851e+01,32,40,23,8.817177e-03,4.648700e-04
234,2.900625e-01,4.141817e-01,1.845499e+01,33,39,24,8.756672e-03,4.616739e-04
235,2.901196e-01,4.151611e-01,1.853461e+01,104,54,22,8.774551e-03,4.649289e-04
236,2.901827e-01,4.156246e-01,1.885755e+01,32,39,24,8.784939e-03,4.339085e-04
237,2.902487e-01,4.156704e-01,1.896383e+01,32,39,24,8.780254e-03,4.523258e-04
238,2.903138e-01,4.162769e-01,1.893321e+01,32,39,24,8.707387e-03,4.415174e-04
239,2.903792e-01,4.161310e-01,1.848557e+01,32,39,24,8.662951e-03,4.347267e-04
240,2.904473e-01,4.182320e-01,1.779286e+01,50,44,26,8.616784e-03,4.345683e-04
241,2.905219e-01,4.274950e-01,1.796194e+01,50,44,26,8.456476e-03,4.421726e-04
242,2.906051e-01,4.396200e-01,1.798902e+01,50,44,26,8.318995e-03,4.172506e-04
243,2.906747e-01,4.477015e-01,1.827030e+01,50,44,26,8.479876e-03,4.375263e-04
244,2.907239e-01,4.573479e-01,1.867229e+01,50,44,26,8.647118e-03,4.389349e-04
245,2.907396e-01,4.676714e-01,1.908802e+01,50,44,26,8.770579e-03,4.478869e-04
246,2.906961e-01,4.775782e-01,1.948247e+01,50,44,26,8.820825e-03,4.361468e-04
247,2.905872e-01,4.831104e-01,1.969629e+01,50,44,26,8.913107e-03,4.637034e-04
