iter,u_fl,u_bd,u_in,div_fl,div_bd,div_in,p_fl,p_bd,p_in,nin,nbd
144,1.460975e-01,1.225414e-01,1.036870e-01,9.694862e-01,1.045388e+02,3.016687e+01,1.785078e+01,2.093171e+01,4.112341e+00,5022,5481
145,1.478313e-01,1.355935e-01,1.024626e-01,1.016651e+00,9.330742e+01,3.445756e+01,1.703220e+01,2.028864e+01,4.183883e+00,5017,5469
146,1.483882e-01,1.221367e-01,1.034174e-01,1.027119e+00,8.553648e+01,8.881145e+01,1.851580e+01,1.990384e+01,4.303734e+00,5008,5515
147,1.433325e-01,1.313644e-01,1.025105e-01,1.032459e+00,7.699326e+01,8.015550e+01,1.706908e+01,1.998664e+01,4.173666e+00,5009,5487
148,1.478713e-01,1.204153e-01,1.016959e-01,1.047504e+00,9.927410e+01,3.304715e+01,1.783132e+01,2.198992e+01,4.234295e+00,4996,5493
149,1.404889e-01,1.251000e-01,1.042163e-01,1.052692e+00,9.066460e+01,9.126346e+01,1.741467e+01,1.879500e+01,4.112012e+00,4985,5547
150,1.433167e-01,1.255806e-01,1.034514e-01,1.375562e+00,8.112987e+01,8.172771e+01,1.667264e+01,2.160239e+01,4.182918e+00,4990,5523
151,1.345365e-01,1.296932e-01,1.021926e-01,1.027067e+00,1.004212e+02,7.115622e+01,1.693251e+01,1.695274e+01,3.919596e+00,5003,5517
152,1.333907e-01,1.310314e-01,1.001387e-01,1.050892e+00,1.339202e+02,3.326116e+01,1.487089e+01,1.880487e+01,3.476948e+00,4971,5526
153,1.305081e-01,1.363264e-01,1.040661e-01,1.028824e+00,6.931381e+01,3.334586e+01,1.480655e+01,1.578047e+01,3.348066e+00,4965,5541
154,1.316786e-01,1.318234e-01,1.026980e-01,1.028576e+00,7.211287e+01,3.342706e+01,1.294675e+01,1.534533e+01,3.328629e+00,4977,5532
155,1.348263e-01,1.396097e-01,9.928887e-02,8.764534e-01,1.027183e+02,3.328984e+01,1.301746e+01,1.445328e+01,3.316327e+00,4982,5523
156,1.372530e-01,1.316304e-01,9.777518e-02,9.606962e-01,1.006822e+02,2.657194e+01,1.294210e+01,1.368840e+01,3.372145e+00,5002,5484
157,1.382862e-01,1.406725e-01,1.028807e-01,8.435249e-01,1.003285e+02,4.061917e+01,1.258834e+01,1.383194e+01,3.245007e+00,5006,5515
158,1.407507e-01,1.337851e-01,1.015073e-01,1.007500e+00,9.843295e+01,3.790443e+01,1.228225e+01,1.380361e+01,3.356043e+00,4999,5519
159,1.423718e-01,1.420352e-01,9.785263e-02,1.233536e+00,9.765953e+01,3.663221e+01,1.226352e+01,1.368634e+01,3.002182e+00,4980,5503
